id,category
S4822,0
S2881,0
S3222,0
S3395,0
S7885,0
S3525,0
S523,0
S5487,0
S4984,5
S441,4
S8185,0
S7220,4
S6722,0
S2963,0
S8885,0
S3386,5
S7863,0
S2366,0
S3744,0
S3847,0
S589,2
S7952,2
S7492,3
S9270,0
S8452,3
S3499,0
S8868,0
S3895,0
S5157,5
S5164,0
S1591,0
S6084,0
S537,0
S6430,0
S5812,0
S4043,1
S4190,0
S7728,5
S8536,0
S6676,0
S1948,0
S8803,0
S2970,5
S4804,0
S4275,0
S2330,3
S460,0
S3422,0
S5442,0
S6683,0
S784,0
S6464,0
S7682,5
S2166,0
S2629,5
S3008,0
S971,0
S5851,4
S4885,0
S8730,0
S7991,0
S6049,4
S4042,0
S8190,1
S6389,0
S8552,0
S224,0
S557,0
S4974,3
S7363,0
S8914,0
S4917,5
S958,4
S4701,0
S7134,3
S2319,0
S7294,0
S8589,0
S4402,0
S7269,0
S6325,0
S4633,0
S2069,0
S314,0
S4152,4
S2493,0
S446,1
S4790,0
S82,0
S3254,0
S7729,0
S2213,2
S3238,2
S9282,0
S2012,5
S8275,0
S7057,0
S3812,0
S3520,2
S3781,0
S3180,0
S1469,0
S6047,0
S2513,0
S3559,4
S9077,4
S1414,0
S3936,0
S501,3
S5881,0
S4670,0
S2125,0
S3818,0
S201,0
S1765,0
S641,0
S3495,0
S7555,0
S4262,0
S2114,0
S3223,0
S3121,0
S6186,0
S4708,0
S1423,0
S1141,0
S6785,5
S5632,5
S5912,0
S5010,5
S8316,0
S4877,0
S688,0
S7292,0
S2547,0
S4906,0
S508,5
S6747,0
S8646,0
S4208,0
S7081,0
S8655,0
S3578,0
S7478,0
S2374,0
S7150,0
S9040,0
S3633,0
S1912,0
S4973,4
S8448,0
S427,0
S1287,0
S1121,0
S2074,0
S5057,0
S899,0
S2831,0
S7959,0
S6206,3
S2819,0
S9152,0
S5065,0
S1841,4
S8380,0
S7475,0
S1031,0
S1011,0
S8776,0
S3927,0
S8225,0
S5193,0
S7083,4
S6165,0
S4580,0
S9313,5
S8713,5
S6294,0
S2006,0
S2433,0
S2019,4
S5074,0
S3439,0
S8140,0
S7067,0
S2537,0
S4028,0
S2368,0
S8160,0
S2662,4
S960,0
S2219,0
S4334,0
S5769,0
S8658,0
S2667,0
S462,0
S2064,0
S2470,0
S2358,0
S4784,0
S422,0
S5375,1
S5734,0
S3837,0
S3972,4
S606,0
S4490,0
S7303,0
S8651,0
S1294,0
S5954,0
S4481,0
S290,0
S8957,0
S8883,0
S5042,4
S9120,0
S7440,0
S3510,0
S7783,5
S5092,0
S7412,0
S8088,0
S1977,0
S1258,0
S5978,0
S6933,0
S5347,4
S2032,4
S8293,0
S1128,0
S1744,0
S4479,0
S7044,0
S1878,0
S6453,0
S177,0
S6717,4
S9095,0
S2362,0
S454,0
S4887,0
S5687,4
S7713,4
S9125,0
S3035,0
S1081,0
S1447,0
S1958,0
S5438,4
S4814,0
S7318,0
S690,1
S4645,0
S3626,1
S7792,5
S361,0
S3508,0
S1576,0
S3875,0
S8506,0
S2044,4
S268,0
S1578,0
S979,0
S3889,0
S2489,0
S5148,0
S8085,0
S5473,0
S8900,4
S4682,0
S1806,4
S6569,0
S5282,0
S1784,0
S8354,0
S4451,0
S4851,0
S3320,0
S2896,0
S2270,0
S7114,0
S8603,0
S378,0
S9117,0
S6157,0
S8979,5
S9058,0
S7584,0
S7050,0
S7093,0
S600,0
S9428,0
S738,0
S3529,5
S7911,0
S6308,0
S199,0
S5240,0
S5640,0
S4546,0
S6660,0
S9141,0
S3500,0
S4021,0
S7325,0
S3658,0
S9345,0
S1696,0
S964,0
S3368,0
S942,5
S8500,0
S1583,4
S2593,0
S5412,0
S770,0
S2140,0
S4839,0
S4090,0
S7916,0
S7256,0
S1407,1
S8582,2
S8096,0
S3772,4
S8610,0
S7116,0
S1660,2
S955,0
S8901,0
S1755,0
S696,0
S2671,0
S3315,3
S8460,0
S3442,0
S2317,0
S1124,0
S3580,0
S5628,0
S9209,0
S4727,0
S9168,0
S4454,0
S6793,0
S5587,0
S7599,0
S5146,0
S3411,0
S5741,0
S227,0
S7886,0
S3535,0
S591,0
S7897,0
S2430,0
S6074,0
S9386,0
S1680,0
S1070,0
S8765,0
S7712,5
S951,4
S9334,0
S8013,0
S1853,0
S4217,0
S3478,0
S1270,0
S5772,0
S3328,0
S3850,0
S6001,0
S6895,0
S6794,0
S7726,0
S9342,0
S1640,0
S3557,1
S8446,0
S1351,0
S7938,5
S9324,5
S5458,0
S4568,0
S2062,0
S4620,0
S2615,0
S9192,0
S2681,5
S8745,4
S5779,0
S8555,0
S245,4
S7063,0
S8343,0
S8779,0
S8527,0
S6744,0
S1165,0
S6274,0
S5246,0
S7538,0
S818,0
S7724,0
S1237,0
S4897,0
S3660,0
S167,0
S561,0
S7158,4
S2701,0
S5224,0
S2539,0
S2978,4
S6288,4
S4047,0
S5187,2
S3702,0
S3649,0
S1283,0
S3679,0
S6880,5
S718,0
S6040,0
S985,4
S2209,4
S6751,5
S48,0
S6220,0
S2310,3
S4447,0
S2873,0
S4482,5
S6869,4
S3000,3
S2173,0
S9197,0
S8402,5
S3275,0
S8113,0
S4455,0
S5470,0
S3524,0
S1334,0
S630,4
S5775,0
S3343,0
S1150,0
S1400,2
S5392,0
S7206,0
S6197,0
S1254,0
S4679,2
S2889,0
S1989,0
S1739,0
S3188,0
S1886,0
S5073,0
S1871,3
S6411,0
S6559,4
S2175,1
S6813,0
S2052,5
S1814,0
S4070,4
S3558,0
S9193,0
S2728,0
S1876,0
S7565,0
S6239,0
S145,4
S2967,4
S2988,0
S8755,0
S6565,0
S6783,0
S527,0
S8630,0
S5078,0
S2989,0
S6192,0
S8741,0
S5278,4
S2352,0
S3824,0
S96,0
S2809,0
S7545,3
S4824,0
S6958,0
S4752,0
S2226,5
S4327,0
S3937,0
S2063,0
S3321,4
S7853,0
S4614,0
S8049,5
S3163,3
S4613,0
S3484,5
S2647,0
S7788,0
S1210,0
S5338,0
S974,0
S2086,0
S4161,0
S9166,0
S852,0
S5455,0
S6282,4
S3777,0
S5302,0
S4605,0
S2992,0
S8995,5
S9136,4
S5809,4
S1945,0
S1133,0
S5376,0
S1274,4
S2581,0
S3141,0
S1252,0
S6585,0
S2696,0
S6681,5
S836,4
S297,0
S5525,0
S2022,1
S7641,0
S7132,0
S9051,0
S4545,0
S8968,0
S4471,0
S6719,0
S845,2
S8413,0
S5205,0
S4868,0
S4076,4
